a_x,a_y,a_z,a_zz,delta_theta
2.739560486,-0.6112156025,3.585979199,1.973680291,0.1503086741
-4.058226521,4.756223516,2.61139702,2.860643053,0.1763537764
-3.718863673,-0.496140621,-1.292019758,4.267649888,0.1017210584
1.438651201,3.227616133,-0.5658580117,-2.727612782,0.2668313449
0.5458478702,-4.361827439,3.27631172,1.316643991,0.1167980178
2.580877401,-1.454740319,4.706980244,3.931211213,0.1157150897
2.783834971,-3.053612921,-0.3327899627,-4.561962342,0.4452807159
-3.457105079,1.830489532,2.447621559,4.675097324,0.313639724
-1.741746419,-1.29540294,-0.3044418872,-3.105286409,0.2075161605
-3.700784947,-0.2429507377,-2.730906509,1.698139947,4.500267995
-0.6284808113,3.326781961,2.00265102,-1.876333586,1.042984748
3.322598014,3.047643575,-1.12521621,-2.116718961,0.1270572953
1.82495504,-3.602475164,-3.000917975,-4.926377302,0.3744100633
2.869243775,1.648508566,2.051653786,2.80729031,0.1545183002
-0.4108422446,0.6874119595,-3.602030019,-3.854699265,0.1000166848
1.684029618,-0.2890379386,0.6523610648,2.649988574,0.1166208484
1.3471832,0.5357940066,0.5920716075,-1.960499019,0.2508269442
-4.691821654,-0.6328261077,-2.854153272,-0.9147135628,0.1306444928
3.534030733,-2.660605141,-4.416972583,-2.18616108,0.7070079894
-2.064062422,1.619165147,0.5703215234,2.838982091,0.1408556549
1.643135403,-0.9361313856,3.140203847,-3.330270801,4.16688663
-4.772879269,-4.099521392,2.223593506,-0.3812276975,0.1317556675
-3.38728221,0.01044775103,-3.476878973,1.963203751,0.1188161456
-0.5384372443,-1.189787739,-1.984879109,1.302825931,0.1604079109
-1.381873894,-4.123500807,-3.819940979,4.618976645,0.3426331588
4.085806907,1.997071338,-2.341300385,4.691763773,0.1186712388
2.78750904,2.168901892,-0.5063849786,-2.277584382,1.132912945
-4.036090378,4.026023965,-0.4422371017,-2.976366352,0.3837073754
-1.940433758,0.7921956894,-3.232272171,3.566142841,0.7450717103
2.585195298,2.19462956,-0.6790696022,1.273088407,0.3285354946
0.8409796891,1.498466016,-4.155556789,-0.8419259783,0.1220848459
-4.583858261,-0.06009180755,-1.701387877,-3.554758111,0.1272776952
-3.965970323,0.8764457218,-3.294070315,4.251201184,0.1153265429
0.810611397,-1.531301955,0.9091549148,-4.77196129,0.1566081518
4.585592132,-0.1769656306,2.827352273,-4.172700001,0.3328531772
-0.1334166916,-0.09293005645,4.37826455,0.7172805238,0.1000136554
-0.2651059894,-2.330243369,-1.684310027,0.2067240247,0.1135057697
-0.6108853969,-4.783879201,3.262919242,3.961607718,0.1527856109
-3.59750911,0.5403614354,-3.914242589,1.72240093,0.1029297227
-2.187662162,1.594226347,2.269946143,2.686474919,0.6327786568
-3.92259054,4.160118451,-2.697860091,-4.625874438,0.1016985783
0.5485246939,-1.290777161,3.297897431,3.082514721,0.1602312569
-1.828611072,4.528993951,-2.090821619,0.1505712923,0.1041516095
-2.440349094,4.3604357,-3.353921824,-4.550893806,0.1123656491
-0.6490294,4.923755641,3.916772663,2.486080195,0.1662538061
3.907924909,3.934466397,0.1885836039,-1.840709482,0.1056185806
2.720124321,1.616612632,-1.263422711,-4.055333319,0.1242448058
2.467896113,-2.375394841,4.368131505,-2.59029425,0.1324631023
-3.772420676,3.311126721,-3.467156834,-3.207316918,0.1244748082
0.9938279152,3.745620408,-3.035653343,-1.896763271,0.1062739103
2.774048382,4.718264261,0.007411862023,-3.561024974,0.1016317596
-4.860637123,-2.7034397,-3.681777822,1.776586736,0.6880071249
-3.781674954,0.06329931621,1.942624356,0.8111660922,0.9235585654
-3.002243483,3.041245262,2.154071296,2.389840039,0.3014564877
-3.689422484,-3.762461963,4.27562551,-1.024218062,0.1005068155
-1.990513082,-0.1141595465,1.628642128,4.55623257,0.1860015069
-2.135537731,4.248084293,-4.751405086,0.5519804233,0.8698652082
1.339751117,-3.941025962,-3.596604029,-0.8088568068,0.1094420026
4.662319121,0.9604255323,4.330232216,3.043609156,0.117407443
-0.3261839844,2.847634493,-4.82163216,-3.908560032,0.183964986
3.294286149,2.968170883,-2.67359258,0.307695906,0.1249238601
1.060158207,3.677389538,1.031071573,-0.8742843073,0.3560007565
-1.258159566,-0.7411791363,1.519310256,3.674906318,0.4945012218
-0.4610311792,-2.52160437,-2.63337637,2.460142802,0.2358812687
3.165687634,-3.947219201,-4.33441143,0.9443366376,0.1004070314
-3.538267558,3.246641905,-1.896653261,-3.56128067,0.1148691786
4.209704725,-3.344682773,-2.152799177,-3.463866048,0.1161884296
-3.845099363,-4.788519837,-4.446045908,-3.253585291,0.1019193869
-4.466180674,0.9114381611,1.807145268,-1.063695432,0.2287294886
-1.82008903,0.04526237022,3.750049422,3.511316268,0.1091493281
-4.56524938,-3.185015904,-2.632551289,-2.506124242,0.1524698764
0.7123265174,-0.837375743,-4.507458801,-1.263858615,0.1003504145
0.2375294872,-3.983280971,3.334585538,-4.480381335,0.2707851136
4.24841869,-4.008868584,3.435749516,4.026531439,0.1285835558
4.795706806,3.020258803,2.794775408,1.42483276,0.1020974366
2.789963546,-3.654477916,0.3606803595,0.1422287019,0.1002084023
3.575721441,-0.3720063441,-1.149105039,1.395632712,0.3124208802
-2.335366825,-3.60231589,-0.2212272598,-0.8311063141,0.1027354715
-2.674300595,-1.324881899,-1.336075502,-1.725044356,0.1068258157
-1.205359203,1.857433455,-2.031235254,4.488579267,0.3280554831
