a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
2.739560486,-0.6112156025,3.585979199,1.973680291,0.3226413554,2,0.1,10
-4.058226521,4.756223516,2.61139702,2.860643053,0.40217874,2,0.1,10
-3.718863673,-0.496140621,-1.292019758,4.267649888,0.05633839897,2,0.1,10
1.438651201,3.227616133,-0.5658580117,-2.727612782,2.765058711,2,0.1,10
0.5458478702,-4.361827439,3.27631172,1.316643991,0.09918974713,2,0.1,10
2.580877401,-1.454740319,4.706980244,3.931211213,0.1112864433,2,0.1,10
2.783834971,-3.053612921,-0.3327899627,-4.561962342,0.6082683945,2,0.1,10
-3.457105079,1.830489532,2.447621559,4.675097324,0.05574193469,2,0.1,10
-1.741746419,-1.29540294,-0.3044418872,-3.105286409,8.722938332,2,0.1,10
-3.700784947,-0.2429507377,-2.730906509,1.698139947,1.164319737,2,0.1,10
-0.6284808113,3.326781961,2.00265102,-1.876333586,0.1716897839,2,0.1,10
3.322598014,3.047643575,-1.12521621,-2.116718961,0.08640727077,2,0.1,10
1.82495504,-3.602475164,-3.000917975,-4.926377302,0.8103402409,2,0.1,10
2.869243775,1.648508566,2.051653786,2.80729031,0.6292606339,2,0.1,10
-0.4108422446,0.6874119595,-3.602030019,-3.854699265,0.1018064529,2,0.1,10
1.684029618,-0.2890379386,0.6523610648,2.649988574,0.5976285923,2,0.1,10
1.3471832,0.5357940066,0.5920716075,-1.960499019,0.1140636817,2,0.1,10
-4.691821654,-0.6328261077,-2.854153272,-0.9147135628,0.1488617461,2,0.1,10
3.534030733,-2.660605141,-4.416972583,-2.18616108,0.194557221,2,0.1,10
-2.064062422,1.619165147,0.5703215234,2.838982091,0.1495165844,2,0.1,10
1.643135403,-0.9361313856,3.140203847,-3.330270801,0.1978910658,2,0.1,10
-4.772879269,-4.099521392,2.223593506,-0.3812276975,0.1320295392,2,0.1,10
-3.38728221,0.01044775103,-3.476878973,1.963203751,0.1524602227,2,0.1,10
-0.5384372443,-1.189787739,-1.984879109,1.302825931,0.2126153805,2,0.1,10
-1.381873894,-4.123500807,-3.819940979,4.618976645,0.07664433502,2,0.1,10
4.085806907,1.997071338,-2.341300385,4.691763773,0.07379989393,2,0.1,10
2.78750904,2.168901892,-0.5063849786,-2.277584382,0.2512844785,2,0.1,10
-4.036090378,4.026023965,-0.4422371017,-2.976366352,0.1296964052,2,0.1,10
-1.940433758,0.7921956894,-3.232272171,3.566142841,0.1009376343,2,0.1,10
2.585195298,2.19462956,-0.6790696022,1.273088407,0.1538572781,2,0.1,10
0.8409796891,1.498466016,-4.155556789,-0.8419259783,0.123647108,2,0.1,10
-4.583858261,-0.06009180755,-1.701387877,-3.554758111,0.134725186,2,0.1,10
-3.965970323,0.8764457218,-3.294070315,4.251201184,0.0853820018,2,0.1,10
0.810611397,-1.531301955,0.9091549148,-4.77196129,0.1077880558,2,0.1,10
4.585592132,-0.1769656306,2.827352273,-4.172700001,0.165193017,2,0.1,10
-0.1334166916,-0.09293005645,4.37826455,0.7172805238,0.100033532,2,0.1,10
-0.2651059894,-2.330243369,-1.684310027,0.2067240247,0.1108088391,2,0.1,10
-0.6108853969,-4.783879201,3.262919242,3.961607718,0.1811721007,2,0.1,10
-3.59750911,0.5403614354,-3.914242589,1.72240093,0.08363712397,2,0.1,10
-2.187662162,1.594226347,2.269946143,2.686474919,0.111025748,2,0.1,10
-3.92259054,4.160118451,-2.697860091,-4.625874438,0.7887515405,2,0.1,10
0.5485246939,-1.290777161,3.297897431,3.082514721,0.199851845,2,0.1,10
-1.828611072,4.528993951,-2.090821619,0.1505712923,0.101481089,2,0.1,10
-2.440349094,4.3604357,-3.353921824,-4.550893806,0.06227281962,2,0.1,10
-0.6490294,4.923755641,3.916772663,2.486080195,0.1489320613,2,0.1,10
3.907924909,3.934466397,0.1885836039,-1.840709482,0.1003960596,2,0.1,10
2.720124321,1.616612632,-1.263422711,-4.055333319,0.1773538039,2,0.1,10
2.467896113,-2.375394841,4.368131505,-2.59029425,0.1419569972,2,0.1,10
-3.772420676,3.311126721,-3.467156834,-3.207316918,0.2188364249,2,0.1,10
0.9938279152,3.745620408,-3.035653343,-1.896763271,0.1005123021,2,0.1,10
2.774048382,4.718264261,0.007411862023,-3.561024974,0.07202703736,2,0.1,10
-4.860637123,-2.7034397,-3.681777822,1.776586736,1.535251376,2,0.1,10
-3.781674954,0.06329931621,1.942624356,0.8111660922,0.3925189167,2,0.1,10
-3.002243483,3.041245262,2.154071296,2.389840039,0.3797428984,2,0.1,10
-3.689422484,-3.762461963,4.27562551,-1.024218062,0.1139823499,2,0.1,10
-1.990513082,-0.1141595465,1.628642128,4.55623257,0.4895178816,2,0.1,10
-2.135537731,4.248084293,-4.751405086,0.5519804233,0.5506760064,2,0.1,10
1.339751117,-3.941025962,-3.596604029,-0.8088568068,0.1210787985,2,0.1,10
4.662319121,0.9604255323,4.330232216,3.043609156,0.08121295117,2,0.1,10
-0.3261839844,2.847634493,-4.82163216,-3.908560032,0.119231967,2,0.1,10
3.294286149,2.968170883,-2.67359258,0.307695906,0.1351314591,2,0.1,10
1.060158207,3.677389538,1.031071573,-0.8742843073,0.2231130877,2,0.1,10
-1.258159566,-0.7411791363,1.519310256,3.674906318,0.06657672344,2,0.1,10
-0.4610311792,-2.52160437,-2.63337637,2.460142802,0.1465735781,2,0.1,10
3.165687634,-3.947219201,-4.33441143,0.9443366376,0.1034346052,2,0.1,10
-3.538267558,3.246641905,-1.896653261,-3.56128067,0.07503060074,2,0.1,10
4.209704725,-3.344682773,-2.152799177,-3.463866048,0.06826053516,2,0.1,10
-3.845099363,-4.788519837,-4.446045908,-3.253585291,0.09619214278,2,0.1,10
-4.466180674,0.9114381611,1.807145268,-1.063695432,0.300711861,2,0.1,10
-1.82008903,0.04526237022,3.750049422,3.511316268,0.09330359585,2,0.1,10
-4.56524938,-3.185015904,-2.632551289,-2.506124242,0.1148355354,2,0.1,10
0.7123265174,-0.837375743,-4.507458801,-1.263858615,0.1003234086,2,0.1,10
0.2375294872,-3.983280971,3.334585538,-4.480381335,0.2257541204,2,0.1,10
4.24841869,-4.008868584,3.435749516,4.026531439,0.108868783,2,0.1,10
4.795706806,3.020258803,2.794775408,1.42483276,0.1239500945,2,0.1,10
2.789963546,-3.654477916,0.3606803595,0.1422287019,0.1016979669,2,0.1,10
3.575721441,-0.3720063441,-1.149105039,1.395632712,1.173731645,2,0.1,10
-2.335366825,-3.60231589,-0.2212272598,-0.8311063141,0.09729143987,2,0.1,10
-2.674300595,-1.324881899,-1.336075502,-1.725044356,0.1815787157,2,0.1,10
-1.205359203,1.857433455,-2.031235254,4.488579267,0.2036931871,2,0.1,10
4.163480195,-0.190895717,-1.71638795,0.3543478983,0.1286228695,2,0.1,10
3.485604888,1.525873406,3.043918279,0.3272227607,0.1485177248,2,0.1,10
1.329176293,-2.118443858,2.348931623,-2.975954069,0.08915673368,2,0.1,10
1.947981288,3.607190683,-3.678971627,1.143797405,0.09726014143,2,0.1,10
-4.049042518,2.257156283,-4.155067812,4.359398227,0.1309311894,2,0.1,10
-3.6259207,4.588802459,3.008841761,0.9368200447,0.4592095318,2,0.1,10
2.826241046,2.95114839,4.460270628,-2.466166462,0.1129869722,2,0.1,10
0.9007589536,-4.049508024,1.161657,-3.287086959,0.1131800958,2,0.1,10
0.6495061147,0.7243051403,-0.3401484702,0.2263177551,0.1076932521,2,0.1,10
2.6392339,2.992447165,-0.07846784425,0.9959344152,0.1051355348,2,0.1,10
4.312362357,-3.802664115,-3.828964341,-4.122909881,0.5878603223,2,0.1,10
1.57863285,-0.8139169921,2.743214161,1.712314133,0.1268967854,2,0.1,10
-1.663622417,3.983665474,2.625321471,-2.294650591,0.1352255544,2,0.1,10
-1.358079822,-1.855600198,-3.423883514,-3.522166275,0.1180851302,2,0.1,10
4.361274634,-0.620959628,-1.166801772,2.296857087,0.07253418874,2,0.1,10
0.5299306525,4.361399868,2.803014939,-0.2063043588,0.1157346428,2,0.1,10
-1.236405265,4.866315449,2.17760236,4.5119466,0.1060934296,2,0.1,10
-3.815214228,3.505336792,1.37073884,-3.780783217,0.2442406851,2,0.1,10
0.8825799997,1.860963651,-4.876973141,-0.4568203816,0.1076881583,2,0.1,10
3.253995112,-2.046409747,-0.414519182,-0.5768587293,0.09973245517,2,0.1,10
-1.980726086,4.184418955,2.812940354,-3.89411589,1.713393474,2,0.1,10
4.970346578,3.792000243,-2.160915621,3.368965797,0.1183039664,2,0.1,10
-3.935804681,4.991047305,1.656847361,1.501250156,0.9275094108,2,0.1,10
